"Identifier","Source String","Context","Translation"
"ActivationLinkReSent.activationReSentText","If there is already an account with the email address provided, you should receive instructions shortly. If you don't see an email from us, please check your spam folder.","
-- CONTEXT --
","If there is already an account with the email address provided, you should receive instructions shortly. If you don't see an email from us, please check your spam folder."
"ActivationLinkReSent.activationReSentTitle","Instructions sent. Thank you!","
-- CONTEXT --
","Instructions sent. Thank you!"
"ActivationSent.header","Activation link sent","
-- CONTEXT --
","Activation link sent"
"ActivationSent.text","Thank you for creating an account! To complete the process, please check your email for the activation link we sent you.","
-- CONTEXT --
","Thank you for creating an account! To complete the process, please check your email for the activation link we sent you."
"ActivityDuration.minutesRequired","Minutes","
-- CONTEXT --
","Minutes"
"ActivityDuration.notOptionalLabel","Time required for the resource to be marked as completed. This value will not be displayed to learners.","
-- CONTEXT --
","Time required for the resource to be marked as completed. This value will not be displayed to learners."
"ActivityDuration.optionalLabel","(Optional) Time required for the resource to be marked as completed. This value will not be displayed to learners.","
-- CONTEXT --
","(Optional) Time required for the resource to be marked as completed. This value will not be displayed to learners."
"AddNextStepsPage.addedNextStepSnackbar","Added next step","
-- CONTEXT --
","Added next step"
"AddNextStepsPage.toolbarTitle","Add next step","
-- CONTEXT --
","Add next step"
"AddPreviousStepsPage.addedPreviousStepSnackbar","Added previous step","
-- CONTEXT --
","Added previous step"
"AddPreviousStepsPage.toolbarTitle","Add previous step","
-- CONTEXT --
","Add previous step"
"AddRelatedResourcesModal.addStepBtnLabel","Add","
-- CONTEXT --
","Add"
"AddRelatedResourcesModal.cancelBtnLabel","Cancel","
-- CONTEXT --
","Cancel"
"AddRelatedResourcesModal.previewStepBtnLabel","Preview","
-- CONTEXT --
","Preview"
"AddRelatedResourcesModal.resourcesDisplayedText","Only showing available resources for","
-- CONTEXT --
","Only showing available resources for"
"AddRelatedResourcesModal.selectedAsCurrentResource","This is the current resource","
-- CONTEXT --
","This is the current resource"
"AddRelatedResourcesModal.selectedAsNextStep","Already selected as a next step","
-- CONTEXT --
","Already selected as a next step"
"AddRelatedResourcesModal.selectedAsPreviousStep","Already selected as a previous step","
-- CONTEXT --
","Already selected as a previous step"
"AdministrationAppError.unauthorizedDetails","You need to be an administrator of Studio to view this page","
-- CONTEXT --
","You need to be an administrator of Studio to view this page"
"AdministrationIndex.channelsLabel","Channels","
-- CONTEXT --
","Channels"
"AdministrationIndex.usersLabel","Users","
-- CONTEXT --
","Users"
"Alert.closeButtonLabel","OK","
-- CONTEXT --
","OK"
"Alert.dontShowAgain","Don't show this message again","
-- CONTEXT --
","Don't show this message again"
"AnswersEditor.answersLabel","Answers","
-- CONTEXT --
","Answers"
"AnswersEditor.newAnswerBtnLabel","New answer","
-- CONTEXT --
","New answer"
"AnswersEditor.noAnswersPlaceholder","Question has no answer options","
-- CONTEXT --
","Question has no answer options"
"AnswersEditor.numberFieldErrorLabel","Answer must be a number","
-- CONTEXT --
","Answer must be a number"
"AppBar.administration","Administration","
-- CONTEXT --
","Administration"
"AppBar.changeLanguage","Change language","
-- CONTEXT --
","Change language"
"AppBar.help","Help and support","
-- CONTEXT --
","Help and support"
"AppBar.logIn","Sign in","
-- CONTEXT --
","Sign in"
"AppBar.logOut","Sign out","
-- CONTEXT --
","Sign out"
"AppBar.settings","Settings","
-- CONTEXT --
","Settings"
"AppBar.title","Kolibri Studio","
-- CONTEXT --
","Kolibri Studio"
"AssessmentEditor.closeBtnLabel","Close","
-- CONTEXT --
","Close"
"AssessmentEditor.incompleteItemIndicatorLabel","Incomplete","
-- CONTEXT --
","Incomplete"
"AssessmentEditor.newQuestionBtnLabel","New question","
-- CONTEXT --
","New question"
"AssessmentEditor.noQuestionsPlaceholder","Exercise has no questions","
-- CONTEXT --
","Exercise has no questions"
"AssessmentEditor.showAnswers","Show answers","
-- CONTEXT --
","Show answers"
"AssessmentEditor.toolbarItemLabel","question","
-- CONTEXT --
","question"
"AssessmentItemEditor.dialogMessageChangeToInput","Switching to 'numeric input' will set all answers as correct and remove all non-numeric answers. Continue?","
-- CONTEXT --
","Switching to 'numeric input' will set all answers as correct and remove all non-numeric answers. Continue?"
"AssessmentItemEditor.dialogMessageChangeToSingleSelection","Switching to 'single choice' will set only one answer as correct. Continue?","
-- CONTEXT --
","Switching to 'single choice' will set only one answer as correct. Continue?"
"AssessmentItemEditor.dialogMessageChangeToTrueFalse","Switching to 'true or false' will remove all current answers. Continue?","
-- CONTEXT --
","Switching to 'true or false' will remove all current answers. Continue?"
"AssessmentItemEditor.dialogSubmitBtnLabel","Change","
-- CONTEXT --
","Change"
"AssessmentItemEditor.dialogTitle","Changing question type","
-- CONTEXT --
","Changing question type"
"AssessmentItemEditor.questionLabel","Question","
-- CONTEXT --
","Question"
"AssessmentItemEditor.questionTypeLabel","Response type","
-- CONTEXT --
","Response type"
"AssessmentItemPreview.answersLabel","Answers","
-- CONTEXT --
","Answers"
"AssessmentItemPreview.hintsToggleLabelHide","Hide hints","
-- CONTEXT --
","Hide hints"
"AssessmentItemPreview.hintsToggleLabelShow","Show {hintsCount} {hintsCount, plural, one {hint} other {hints}}","
-- CONTEXT --
","Show {hintsCount} {hintsCount, plural, one {hint} other {hints}}"
"AssessmentItemPreview.noAnswersPlaceholder","Question has no answer options","
-- CONTEXT --
","Question has no answer options"
"AssessmentItemToolbar.toolbarLabelAddAbove","Add {itemLabel} above","
-- CONTEXT --
","Add {itemLabel} above"
"AssessmentItemToolbar.toolbarLabelAddBelow","Add {itemLabel} below","
-- CONTEXT --
","Add {itemLabel} below"
"AssessmentItemToolbar.toolbarLabelDelete","Delete","
-- CONTEXT --
","Delete"
"AssessmentItemToolbar.toolbarLabelEdit","Edit","
-- CONTEXT --
","Edit"
"AssessmentItemToolbar.toolbarLabelMoveDown","Move down","
-- CONTEXT --
","Move down"
"AssessmentItemToolbar.toolbarLabelMoveUp","Move up","
-- CONTEXT --
","Move up"
"AssessmentTab.dialogCancelBtnLabel","Cancel","
-- CONTEXT --
","Cancel"
"AssessmentTab.dialogSubmitBtnLabel","Submit","
-- CONTEXT --
","Submit"
"AssessmentTab.incompleteItemsCountMessage","{invalidItemsCount} incomplete {invalidItemsCount, plural, one {question} other {questions}}","
-- CONTEXT --
","{invalidItemsCount} incomplete {invalidItemsCount, plural, one {question} other {questions}}"
"BrowsingCard.addToClipboardAction","Copy to clipboard","
-- CONTEXT --
","Copy to clipboard"
"BrowsingCard.coach","Resource for coaches","
-- CONTEXT --
","Resource for coaches"
"BrowsingCard.goToPluralLocationsAction","In {count, number} {count, plural, one {location} other {locations}}","
-- CONTEXT --
","In {count, number} {count, plural, one {location} other {locations}}"
"BrowsingCard.goToSingleLocationAction","Go to location","
-- CONTEXT --
","Go to location"
"BrowsingCard.hasCoachTooltip","{value, number, integer} {value, plural, one {resource for coaches} other {resources for coaches}}","
-- CONTEXT --
","{value, number, integer} {value, plural, one {resource for coaches} other {resources for coaches}}"
"BrowsingCard.previewAction","View details","
-- CONTEXT --
","View details"
"BrowsingCard.resourcesCount","{count, number} {count, plural, one {resource} other {resources}}","
-- CONTEXT --
","{count, number} {count, plural, one {resource} other {resources}}"
"BrowsingCard.tagsList","Tags: {tags}","
-- CONTEXT --
","Tags: {tags}"
"BytesForHumansStrings.fileSizeInBytes","{n, number, integer} B","
-- CONTEXT --
","{n, number, integer} B"
"BytesForHumansStrings.fileSizeInGigabytes","{n, number, integer} GB","
-- CONTEXT --
","{n, number, integer} GB"
"BytesForHumansStrings.fileSizeInKilobytes","{n, number, integer} KB","
-- CONTEXT --
","{n, number, integer} KB"
"BytesForHumansStrings.fileSizeInMegabytes","{n, number, integer} MB","
-- CONTEXT --
","{n, number, integer} MB"
"BytesForHumansStrings.fileSizeInTerabytes","{n, number, integer} TB","
-- CONTEXT --
","{n, number, integer} TB"
"CatalogFAQ.KolibriAnswer","Kolibri is an open source ed-tech platform designed for low-resource communities, focused on:","
-- CONTEXT --
","Kolibri is an open source ed-tech platform designed for low-resource communities, focused on:"
"CatalogFAQ.KolibriAnswerItem1","Overcoming infrastructural barriers that prevent equitable access to quality education for learners in low-resource and low-connectivity contexts","
-- CONTEXT --
","Overcoming infrastructural barriers that prevent equitable access to quality education for learners in low-resource and low-connectivity contexts"
"CatalogFAQ.KolibriAnswerItem2","Increasing the availability of open learning materials suitable for many curricula, learning goals, and situations","
-- CONTEXT --
","Increasing the availability of open learning materials suitable for many curricula, learning goals, and situations"
"CatalogFAQ.KolibriAnswerItem3","Fostering innovative pedagogy and effective learning outcomes","
-- CONTEXT --
","Fostering innovative pedagogy and effective learning outcomes"
"CatalogFAQ.KolibriQuestion","What is Kolibri?","
-- CONTEXT --
","What is Kolibri?"
"CatalogFAQ.aboutHeader","Welcome to the Kolibri Content Library Catalog! ","
-- CONTEXT --
","Welcome to the Kolibri Content Library Catalog! "
"CatalogFAQ.aboutKolibriHeader","About Kolibri","
-- CONTEXT --
","About Kolibri"
"CatalogFAQ.aboutLibraryHeader","About the Kolibri Content Library","
-- CONTEXT --
","About the Kolibri Content Library"
"CatalogFAQ.channelAnswer","A channel is Kolibri’s unit of organization for digital content. It's a collection of resources organized by single institutions or creators, each of which may contain a set of books, games, textbooks, articles, simulations, exercises, and many more types of educational materials, all made available for use in Kolibri without the need for internet access. A channel isn't necessarily a course or a sequence, it's simply a collection of materials published or gathered together by one organization, as close to the provider's original layout as possible, while still organized for the best possible navigation in Kolibri.","
-- CONTEXT --
","A channel is Kolibri’s unit of organization for digital content. It's a collection of resources organized by single institutions or creators, each of which may contain a set of books, games, textbooks, articles, simulations, exercises, and many more types of educational materials, all made available for use in Kolibri without the need for internet access. A channel isn't necessarily a course or a sequence, it's simply a collection of materials published or gathered together by one organization, as close to the provider's original layout as possible, while still organized for the best possible navigation in Kolibri."
"CatalogFAQ.channelLink","What is a channel?","
-- CONTEXT --
","What is a channel?"
"CatalogFAQ.channelQuestion","What is a channel?","
-- CONTEXT --
","What is a channel?"
"CatalogFAQ.coachContentAnswer","Most resources are directed at learners, but some, such as lesson plans, subject refreshers, professional learning guides, and similar, are directed at teachers and facilitators. In Kolibri, we mark this content as ""for coaches"" and limit its visibility to those with coach accounts. If you see coach materials here, they may require less planning for any facilitators using the resource!","
-- CONTEXT --
","Most resources are directed at learners, but some, such as lesson plans, subject refreshers, professional learning guides, and similar, are directed at teachers and facilitators. In Kolibri, we mark this content as ""for coaches"" and limit its visibility to those with coach accounts. If you see coach materials here, they may require less planning for any facilitators using the resource!"
"CatalogFAQ.coachContentQuestion","What are 'resources for coaches'?","
-- CONTEXT --
","What are 'resources for coaches'?"
"CatalogFAQ.customContentAnswer","To add your own materials, create an account on Kolibri Studio by going to https://studio.learningequality.org. Recommendations for public materials to be added to the Kolibri Content Library can be made by contacting content@learningequality.org.","
-- CONTEXT --
","To add your own materials, create an account on Kolibri Studio by going to https://studio.learningequality.org. Recommendations for public materials to be added to the Kolibri Content Library can be made by contacting content@learningequality.org."
"CatalogFAQ.customContentQuestion","How can I add my own materials or recommend materials from other creators for this library?","
-- CONTEXT --
","How can I add my own materials or recommend materials from other creators for this library?"
"CatalogFAQ.descriptionP1","Here you can learn more about the educational resources publicly available for use in Kolibri, which are organized into ""channels"". Use the filters to browse channels by keyword, language, or formats of the materials inside.","
-- CONTEXT --
","Here you can learn more about the educational resources publicly available for use in Kolibri, which are organized into ""channels"". Use the filters to browse channels by keyword, language, or formats of the materials inside."
"CatalogFAQ.descriptionP2","Click on a channel to get a preview of what subjects and topics it covers, learn more about its creator, see how many resources the channel contains, and learn how to import it into Kolibri. You can also find coach-specific content (lesson plans, teacher professional guides, and other supplementary facilitation material), assessments and exercises, and captions for accessibility.","
-- CONTEXT --
","Click on a channel to get a preview of what subjects and topics it covers, learn more about its creator, see how many resources the channel contains, and learn how to import it into Kolibri. You can also find coach-specific content (lesson plans, teacher professional guides, and other supplementary facilitation material), assessments and exercises, and captions for accessibility."
"CatalogFAQ.descriptionP3","Sharing the work of these resource creators is what inspires Learning Equality's efforts. We hope you find something that excites you about the potential of digital learning, online or off!","
-- CONTEXT --
","Sharing the work of these resource creators is what inspires Learning Equality's efforts. We hope you find something that excites you about the potential of digital learning, online or off!"
"CatalogFAQ.downloadKolibriLink","Download Kolibri","
-- CONTEXT --
","Download Kolibri"
"CatalogFAQ.downloadLink","Download","
-- CONTEXT --
","Download"
"CatalogFAQ.endoresementQuestion","Have these sources been vetted or endorsed as classroom-safe and ready?","
-- CONTEXT --
","Have these sources been vetted or endorsed as classroom-safe and ready?"
"CatalogFAQ.endorsementAnswer","We select sources with an educational affiliation or mandate, so you can trust that most resources in the Kolibri Content Library were designed for learning purposes. However,  we are not able to guarantee the appropriateness of each individual item within any particular source. We recommend that educators and administrators conduct a thorough review of any digital content using their own criteria - including reorganization and re-curation, if necessary - before using it with learners. Since we recognize that there may be many different standards across situations for criteria like preferred levels of interactivity, subject/age appropriateness, cultural sensitivity and tone, among others, we have intentionally offered a wide range of materials to help meet the needs of all learners whatever they may be.","
-- CONTEXT --
","We select sources with an educational affiliation or mandate, so you can trust that most resources in the Kolibri Content Library were designed for learning purposes. However,  we are not able to guarantee the appropriateness of each individual item within any particular source. We recommend that educators and administrators conduct a thorough review of any digital content using their own criteria - including reorganization and re-curation, if necessary - before using it with learners. Since we recognize that there may be many different standards across situations for criteria like preferred levels of interactivity, subject/age appropriateness, cultural sensitivity and tone, among others, we have intentionally offered a wide range of materials to help meet the needs of all learners whatever they may be."
"CatalogFAQ.faqHeader","Frequently asked questions","
-- CONTEXT --
","Frequently asked questions"
"CatalogFAQ.issueAnswer","Please email us at content@learningequality.org and include the channel name, along with a description of the issue. If you notice an issue on a specific resource, please be sure to link that as well. We'd be happy to investigate and grateful for your feedback!","
-- CONTEXT --
","Please email us at content@learningequality.org and include the channel name, along with a description of the issue. If you notice an issue on a specific resource, please be sure to link that as well. We'd be happy to investigate and grateful for your feedback!"
"CatalogFAQ.issueQuestion","I found a bug, broken link, or some mislabeled information within a resource. What should I do?","
-- CONTEXT --
","I found a bug, broken link, or some mislabeled information within a resource. What should I do?"
"CatalogFAQ.maintenanceAnswerP1","Because Kolibri is designed for learners and educators who are disconnected from the internet, content must first be packaged so that it can be used without internet connection. For most sources, our content team uses custom-written, automated scripts to bring content into Kolibri from a website, an app, or a private source such as a hard drive (with the appropriate permissions).","
-- CONTEXT --
","Because Kolibri is designed for learners and educators who are disconnected from the internet, content must first be packaged so that it can be used without internet connection. For most sources, our content team uses custom-written, automated scripts to bring content into Kolibri from a website, an app, or a private source such as a hard drive (with the appropriate permissions)."
"CatalogFAQ.maintenanceAnswerP2","To learn more about how content is packaged for use on Kolibri and what types of formats are supported, please refer to our content integration guide.","
-- CONTEXT --
","To learn more about how content is packaged for use on Kolibri and what types of formats are supported, please refer to our content integration guide."
"CatalogFAQ.maintenanceQuestion","How is this library created and maintained?","
-- CONTEXT --
","How is this library created and maintained?"
"CatalogFAQ.makerAnswerP1","Learning Equality, a 501(c)(3) nonprofit based in San Diego, California, is committed to enabling every person in the world to realize their right to a quality education, by supporting the creation, adaptation, and distribution of open educational resources, and creating supportive tools for innovative pedagogy.","
-- CONTEXT --
","Learning Equality, a 501(c)(3) nonprofit based in San Diego, California, is committed to enabling every person in the world to realize their right to a quality education, by supporting the creation, adaptation, and distribution of open educational resources, and creating supportive tools for innovative pedagogy."
"CatalogFAQ.makerAnswerP2","In recognition of the digital divide, Learning Equality started by bringing the Khan Academy experience offline to more than 6 million learners around the globe. Its second-generation product, Kolibri, is part of a broader ecosystem of products and tools that support curriculum alignment, blended learning pedagogies, and broader use of Open Educational Resources to improve learning.","
-- CONTEXT --
","In recognition of the digital divide, Learning Equality started by bringing the Khan Academy experience offline to more than 6 million learners around the globe. Its second-generation product, Kolibri, is part of a broader ecosystem of products and tools that support curriculum alignment, blended learning pedagogies, and broader use of Open Educational Resources to improve learning."
"CatalogFAQ.makerQuestion","Who are the makers of Kolibri?","
-- CONTEXT --
","Who are the makers of Kolibri?"
"CatalogFAQ.newContentAnswer","Our content team routinely adds new sources and channels to the library and updates existing channels as content creators make new materials available.","
-- CONTEXT --
","Our content team routinely adds new sources and channels to the library and updates existing channels as content creators make new materials available."
"CatalogFAQ.newContentQuestion","Does Learning Equality add new materials?","
-- CONTEXT --
","Does Learning Equality add new materials?"
"CatalogFAQ.ownershipAnswer","No. Just like an online learning repository with links to external websites, we gather useful digital learning resources to help our community discover a rich variety of learning materials they may not have known about otherwise. All the materials in this educational library are fully credited to the creating organization, reformatted for best display on digital devices, and include any additional information the creator has shared with us. We only include content which is either openly licensed, available to distribute for special nonprofit or noncommercial purposes, or shared with us for distribution through agreement with the creator. Since materials in the library are intended for use in an open source platform, we do not profit financially from their use.","
-- CONTEXT --
","No. Just like an online learning repository with links to external websites, we gather useful digital learning resources to help our community discover a rich variety of learning materials they may not have known about otherwise. All the materials in this educational library are fully credited to the creating organization, reformatted for best display on digital devices, and include any additional information the creator has shared with us. We only include content which is either openly licensed, available to distribute for special nonprofit or noncommercial purposes, or shared with us for distribution through agreement with the creator. Since materials in the library are intended for use in an open source platform, we do not profit financially from their use."
"CatalogFAQ.ownershipQuestion","Does Learning Equality own these resources?","
-- CONTEXT --
","Does Learning Equality own these resources?"
"CatalogFAQ.partialChannelAnswer","When importing content into Kolibri, you can select the specific subsections of a channel you're interested in. If you’d like to make changes such as editing the title or folder descriptions, or changing the order in which materials appear, please contact us at content@learningequality.org for early access to our Kolibri Studio tool, which can be used to make these changes.","
-- CONTEXT --
","When importing content into Kolibri, you can select the specific subsections of a channel you're interested in. If you’d like to make changes such as editing the title or folder descriptions, or changing the order in which materials appear, please contact us at content@learningequality.org for early access to our Kolibri Studio tool, which can be used to make these changes."
"CatalogFAQ.partialChannelQuestion","I want to use some of the resources in this channel, but not all of it. What should I do?","
-- CONTEXT --
","I want to use some of the resources in this channel, but not all of it. What should I do?"
"CatalogFAQ.sampleContentAnswer","You can do this in three ways:","
-- CONTEXT --
","You can do this in three ways:"
"CatalogFAQ.sampleContentAnswerItem1","To see the original content source, click the ⋮  button and select 'Go to source website'","
-- CONTEXT --
","To see the original content source, click the ⋮  button and select 'Go to source website'"
"CatalogFAQ.sampleContentAnswerItem2","To preview the content on one of our online demo servers (available in English, Spanish, Arabic, French, and Hindi), click the ⋮ button and select 'View channel on Kolibri'","
-- CONTEXT --
","To preview the content on one of our online demo servers (available in English, Spanish, Arabic, French, and Hindi), click the ⋮ button and select 'View channel on Kolibri'"
"CatalogFAQ.sampleContentAnswerItem3","Download Kolibri and import the channel on your device for full access offline.","
-- CONTEXT --
","Download Kolibri and import the channel on your device for full access offline."
"CatalogFAQ.sampleContentQuestion","How do I review the contents of the channels themselves?","
-- CONTEXT --
","How do I review the contents of the channels themselves?"
"CatalogFAQ.selectionAnswerP1","Our approach is unique in that we aim to assemble a library of resources which supports the diversity of needs Kolibri is designed to meet, rather than collecting all possible open educational resources.","
-- CONTEXT --
","Our approach is unique in that we aim to assemble a library of resources which supports the diversity of needs Kolibri is designed to meet, rather than collecting all possible open educational resources."
"CatalogFAQ.selectionAnswerP2","To inform what we select, the Learning Equality team is continually maintaining our awareness of openly licensed digital resources available in the educational landscape. Most of our resources come from an organization, institution, or creator with learning design experience and an educational mandate. We prioritize providing a diversity of grade levels, subject areas and languages. Where possible, we also evaluate and seek input on the degree to which the materials may be suitable for the unique blended learning settings in which we work.","
-- CONTEXT --
","To inform what we select, the Learning Equality team is continually maintaining our awareness of openly licensed digital resources available in the educational landscape. Most of our resources come from an organization, institution, or creator with learning design experience and an educational mandate. We prioritize providing a diversity of grade levels, subject areas and languages. Where possible, we also evaluate and seek input on the degree to which the materials may be suitable for the unique blended learning settings in which we work."
"CatalogFAQ.selectionQuestion","How does Learning Equality determine what goes into this library?","
-- CONTEXT --
","How does Learning Equality determine what goes into this library?"
"CatalogFAQ.usingContentAnswer","Great! All of these resources have been specially packaged for use on Kolibri, our open source platform for offline learning, so please review how to get started with Kolibri first, then follow the instructions to import materials.","
-- CONTEXT --
","Great! All of these resources have been specially packaged for use on Kolibri, our open source platform for offline learning, so please review how to get started with Kolibri first, then follow the instructions to import materials."
"CatalogFAQ.usingContentQuestion","I found something I'm interested in and would like to start using it. What should I do?","
-- CONTEXT --
","I found something I'm interested in and would like to start using it. What should I do?"
"CatalogFAQ.usingKolibriAnswerP1","You can learn more about using Kolibri by doing any of the following:","
-- CONTEXT --
","You can learn more about using Kolibri by doing any of the following:"
"CatalogFAQ.usingKolibriAnswerP2","We invite you to use the Kolibri user documentation for further guidance.","
-- CONTEXT --
","We invite you to use the Kolibri user documentation for further guidance."
"CatalogFAQ.usingKolibriItem1","Visit the Learning Equality website","
-- CONTEXT --
","Visit the Learning Equality website"
"CatalogFAQ.usingKolibriItem2","View a demo of the platform","
-- CONTEXT --
","View a demo of the platform"
"CatalogFAQ.usingKolibriItem3","Download the software","
-- CONTEXT --
","Download the software"
"CatalogFAQ.usingKolibriQuestion","How can I use Kolibri?","
-- CONTEXT --
","How can I use Kolibri?"
"CatalogFAQ.usingResourcesHeader","About using these resources","
-- CONTEXT --
","About using these resources"
"CatalogFAQ.viewDemoLink","View demo","
-- CONTEXT --
","View demo"
"CatalogFAQ.viewDocsLink","View docs","
-- CONTEXT --
","View docs"
"CatalogFAQ.viewGettingStartedLink","Documentation resources to get started with Kolibri","
-- CONTEXT --
","Documentation resources to get started with Kolibri"
"CatalogFAQ.viewIntegrationGuide","View content integration guide","
-- CONTEXT --
","View content integration guide"
"CatalogFAQ.visitWebsiteLink","Visit website","
-- CONTEXT --
","Visit website"
"CatalogFilterBar.assessments","Assessments","
-- CONTEXT --
","Assessments"
"CatalogFilterBar.channelCount","{count, plural,
 =1 {# channel}
 other {# channels}}","
-- CONTEXT --
","{count, plural,
 =1 {# channel}
 other {# channels}}"
"CatalogFilterBar.clearAll","Clear all","
-- CONTEXT --
","Clear all"
"CatalogFilterBar.close","Close","
-- CONTEXT --
","Close"
"CatalogFilterBar.coachContent","Coach content","
-- CONTEXT --
","Coach content"
"CatalogFilterBar.copyTitle","Copy collection token","
-- CONTEXT --
","Copy collection token"
"CatalogFilterBar.copyToken","Copy collection token","
-- CONTEXT --
","Copy collection token"
"CatalogFilterBar.copyTokenInstructions","Paste this token into Kolibri to import the channels contained in this collection","
-- CONTEXT --
","Paste this token into Kolibri to import the channels contained in this collection"
"CatalogFilterBar.keywords","""{text}""","
-- CONTEXT --
","""{text}"""
"CatalogFilterBar.starred","Starred","
-- CONTEXT --
","Starred"
"CatalogFilterBar.subtitles","Subtitles","
-- CONTEXT --
","Subtitles"
"CatalogFilters.coachDescription","Resources for coaches are only visible to coaches in Kolibri","
-- CONTEXT --
","Resources for coaches are only visible to coaches in Kolibri"
"CatalogFilters.coachLabel","Resources for coaches","
-- CONTEXT --
","Resources for coaches"
"CatalogFilters.copyright","© {year} Learning Equality","
-- CONTEXT --
","© {year} Learning Equality"
"CatalogFilters.formatLabel","Formats","
-- CONTEXT --
","Formats"
"CatalogFilters.frequentlyAskedQuestionsLink","Frequently asked questions","
-- CONTEXT --
","Frequently asked questions"
"CatalogFilters.includesLabel","Display only channels with","
-- CONTEXT --
","Display only channels with"
"CatalogFilters.licenseLabel","Licenses","
-- CONTEXT --
","Licenses"
"CatalogFilters.searchLabel","Keywords","
-- CONTEXT --
","Keywords"
"CatalogFilters.searchText","Search","
-- CONTEXT --
","Search"
"CatalogFilters.starredLabel","Starred","
-- CONTEXT --
","Starred"
"CatalogFilters.subtitlesLabel","Captions or subtitles","
-- CONTEXT --
","Captions or subtitles"
"CatalogList.cancelButton","Cancel","
-- CONTEXT --
","Cancel"
"CatalogList.channelSelectionCount","{count, plural,
 =1 {# channel selected}
 other {# channels selected}}","
-- CONTEXT --
","{count, plural,
 =1 {# channel selected}
 other {# channels selected}}"
"CatalogList.downloadButton","Download","
-- CONTEXT --
","Download"
"CatalogList.downloadCSV","Download CSV","
-- CONTEXT --
","Download CSV"
"CatalogList.downloadPDF","Download PDF","
-- CONTEXT --
","Download PDF"
"CatalogList.downloadingMessage","Download started","
-- CONTEXT --
","Download started"
